Year,Day,Hour,Minutes,Latitude,Longitude,Altitude,Hdop,Num_of_sats,Individual
21,117,12,0,-32.499585,152.307006,15,0.8,11,UOM2002
21,117,13,0,-32.499598,152.307006,28,0.8,11,UOM2002
21,117,14,0,-32.499477,152.307032,24,0.8,11,UOM2002
21,117,15,0,-32.499439,152.306955,14,0.7,12,UOM2002
21,117,16,0,-32.499432,152.306955,11,0.9,10,UOM2002
21,117,17,0,-32.499432,152.306879,15,0.8,11,UOM2002
21,117,18,0,-32.509198,152.319315,17,1.1,8,UOM2002
21,117,19,0,-32.50956,152.319137,0,0.8,9,UOM2002
21,117,20,0,-32.509141,152.320536,19,0.7,10,UOM2002
21,117,21,0,-32.527992,152.322825,0,0.7,11,UOM2002
21,117,22,0,-32.516287,152.323333,5,1,9,UOM2002
21,117,23,0,-32.517737,152.323104,0,0.8,10,UOM2002
21,118,0,0,-32.509319,152.319442,0,0.8,10,UOM2002
21,118,1,0,-32.517628,152.323181,0,1.1,7,UOM2002
21,118,2,0,-32.517406,152.323308,31,0.9,8,UOM2002
21,118,3,0,-32.517628,152.323308,19,1,8,UOM2002
21,118,4,0,-32.517533,152.323181,0,1.1,7,UOM2002
21,118,5,0,-32.517514,152.323054,0,0.8,10,UOM2002
21,118,6,0,-32.517584,152.323104,5,0.8,10,UOM2002
21,118,7,0,-32.512905,152.322214,9,1,9,UOM2002
21,118,8,0,-32.509198,152.319824,5,0.7,11,UOM2002
21,118,9,0,-32.509694,152.319468,12,0.8,10,UOM2002
21,118,10,0,-32.527788,152.322469,3,0.8,9,UOM2002
21,118,11,0,-32.543422,152.310338,7,1,8,UOM2002
21,118,12,0,-32.53543,152.32402,17,0.8,11,UOM2002
21,118,13,0,-32.535303,152.32402,21,0.8,11,UOM2002
21,118,14,0,-32.535405,152.323994,4,0.8,11,UOM2002
21,118,15,0,-32.535335,152.323944,0,0.9,9,UOM2002
21,118,16,0,-32.535354,152.323969,10,0.9,10,UOM2002
21,118,17,0,-32.535424,152.323969,4,0.8,11,UOM2002
21,118,18,0,-32.525767,152.336278,3,0.9,9,UOM2002
21,118,19,0,-32.527534,152.334625,5,0.8,9,UOM2002
