Species,Individual,DateTime,Trap,Date,Pack,Period
Dingo,SLF2003,14/02/2022 18:12,PS6,14/02/2022,SL,Before
Dingo,SLF2003,23/02/2022 14:54,PS6,23/02/2022,SL,Before
Dingo,SLF2003,4/03/2022 23:39,PS4,4/03/2022,SL,Before
Dingo,SLF2003,5/03/2022 22:17,PS6,5/03/2022,SL,Before
Dingo,SLF2003,31/03/2022 21:13,PS4,31/03/2022,SL,During
Dingo,SLF2003,31/03/2022 22:12,PS4,31/03/2022,SL,During
Dingo,SLF2003,18/04/2022 7:42,PS13,18/04/2022,SL,During
Dingo,SLF2003,22/04/2022 8:40,PS22,22/04/2022,SL,During
Dingo,SLF2003,24/04/2022 9:42,PS21,24/04/2022,SL,During
Dingo,SLF1501,21/02/2022 19:12,PS4,21/02/2022,SL,Before
Dingo,SLF1501,6/03/2022 0:05,PS6,6/03/2022,SL,Before
Dingo,SLF1501,10/03/2022 8:26,PS6,10/03/2022,SL,Before
Dingo,SLF1501,10/03/2022 18:42,PS7,10/03/2022,SL,Before
Dingo,SLF1501,15/03/2022 18:47,PS6,15/03/2022,SL,Before
Dingo,SLF1501,17/03/2022 14:38,PS6,17/03/2022,SL,Before
Dingo,SLF1501,22/03/2022 8:06,PS6,22/03/2022,SL,Before
Dingo,SLF1501,30/03/2022 9:50,PS6,30/03/2022,SL,During
Dingo,SLF1501,4/04/2022 9:13,PS6,4/04/2022,SL,During
Dingo,SLF1501,4/04/2022 16:18,PS6,4/04/2022,SL,During
Dingo,SLF1501,11/04/2022 8:44,PS5,11/04/2022,SL,During
Dingo,SLF1501,14/04/2022 11:17,PS5,14/04/2022,SL,During
Dingo,SLF1501,14/04/2022 18:46,PS6,14/04/2022,SL,During
Dingo,SLF1501,18/04/2022 3:44,PS5,18/04/2022,SL,During
Dingo,SLF1501,18/04/2022 10:17,PS6,18/04/2022,SL,During
Dingo,SLF1501,18/04/2022 23:37,PS5,18/04/2022,SL,During
Dingo,SLF1501,22/04/2022 14:33,PS6,22/04/2022,SL,During
Dingo,SLF1501,22/04/2022 21:26,PS5,22/04/2022,SL,During
Dingo,SLF1501,23/04/2022 15:11,PS6,23/04/2022,SL,During
Dingo,SLF1501,26/04/2022 2:58,PS6,26/04/2022,SL,During
Dingo,SLF1501,4/05/2022 9:06,PS5,4/05/2022,SL,During
Dingo,SLF1501,17/05/2022 9:21,PS5,17/05/2022,SL,After
Dingo,SLF1501,30/05/2022 12:57,PS6,30/05/2022,SL,After
Dingo,UOM2001,25/02/2022 8:55,PS12,25/02/2022,MB,Before
Dingo,UOM2001,7/03/2022 9:10,PS14,7/03/2022,MB,Before
Dingo,UOM2001,7/03/2022 11:12,PS9,7/03/2022,MB,Before
Dingo,UOM2001,25/03/2022 7:03,PS13,25/03/2022,MB,Before
Dingo,UOM2001,28/03/2022 18:22,PS9,28/03/2022,MB,During
Dingo,UOM2001,4/04/2022 17:10,PS9,4/04/2022,MB,During
Dingo,UOM2001,4/04/2022 17:55,PS12,4/04/2022,MB,During
Dingo,UOM2001,11/04/2022 8:42,PS5,11/04/2022,MB,During
Dingo,UOM2001,13/04/2022 17:37,PS14,13/04/2022,MB,During
Dingo,UOM2001,13/04/2022 18:44,PS11,13/04/2022,MB,During
Dingo,UOM2001,14/04/2022 11:17,PS5,14/04/2022,MB,During
Dingo,UOM2001,18/04/2022 3:44,PS5,18/04/2022,MB,During
Dingo,UOM2001,18/04/2022 10:18,PS6,18/04/2022,MB,During
Dingo,UOM2001,18/04/2022 23:37,PS5,18/04/2022,MB,During
Dingo,UOM2001,22/04/2022 21:26,PS5,22/04/2022,MB,During
Dingo,UOM2001,23/04/2022 1:59,PS6,23/04/2022,MB,During
Dingo,UOM2001,23/04/2022 15:11,PS6,23/04/2022,MB,During
Dingo,UOM2001,26/04/2022 2:58,PS6,26/04/2022,MB,During
Dingo,UOM2001,29/04/2022 8:03,PS11,29/04/2022,MB,During
Dingo,UOM2001,3/05/2022 16:20,PS8,3/05/2022,MB,During
Dingo,UOM2001,8/05/2022 9:12,PS5,8/05/2022,MB,During
Dingo,UOM2001,10/05/2022 7:55,PS10,10/05/2022,MB,After
Dingo,UOM2001,15/05/2022 15:34,PS14,15/05/2022,MB,After
Dingo,UOM2001,18/05/2022 17:20,PS9,18/05/2022,MB,After
Dingo,UOM2001,23/05/2022 11:11,PS6,23/05/2022,MB,After
Dingo,UOM2001,24/05/2022 7:51,PS11,24/05/2022,MB,After
Dingo,UOM2001,24/05/2022 8:43,PS14,24/05/2022,MB,After
Dingo,UOM2001,25/05/2022 17:21,PS14,25/05/2022,MB,After
Dingo,UOM2001,27/05/2022 12:25,PS7,27/05/2022,MB,After
Dingo,UOM2001,29/05/2022 16:21,PS6,29/05/2022,MB,After
Dingo,UOM2001,30/05/2022 12:57,PS6,30/05/2022,MB,After
Dingo,UOM2002,22/02/2022 7:25,PS7,22/02/2022,MB,Before
Dingo,UOM2002,26/02/2022 19:30,PS12,26/02/2022,MB,Before
Dingo,UOM2002,1/03/2022 12:15,PS14,1/03/2022,MB,Before
Dingo,UOM2002,1/03/2022 13:43,PS9,1/03/2022,MB,Before
Dingo,UOM2002,5/03/2022 9:50,PS12,5/03/2022,MB,Before
Dingo,UOM2002,5/03/2022 19:44,PS14,5/03/2022,MB,Before
Dingo,UOM2002,7/03/2022 3:45,PS11,7/03/2022,MB,Before
Dingo,UOM2002,7/03/2022 4:54,PS14,7/03/2022,MB,Before
Dingo,UOM2002,7/03/2022 7:01,PS8,7/03/2022,MB,Before
Dingo,UOM2002,14/03/2022 19:49,PS7,14/03/2022,MB,Before
Dingo,UOM2002,16/03/2022 2:34,PS11,16/03/2022,MB,Before
Dingo,UOM2002,16/03/2022 20:36,PS11,16/03/2022,MB,Before
Dingo,UOM2002,22/03/2022 6:58,PS12,22/03/2022,MB,Before
Dingo,UOM2002,24/03/2022 13:58,PS14,24/03/2022,MB,Before
Dingo,UOM2002,25/03/2022 5:43,PS11,25/03/2022,MB,Before
Dingo,UOM2002,25/03/2022 7:03,PS13,25/03/2022,MB,Before
Dingo,UOM2002,26/03/2022 12:13,PS12,26/03/2022,MB,Before
Dingo,UOM2002,31/03/2022 8:41,PS3,31/03/2022,MB,During
