Latitude,Longitude,Individual,altitude,Hdop,num_sats,year,month_aedt,day_aedt,hour_aedt,Pack,,,,
-32.594965,152.252532,SLF1501,8,0.7,10,2022,4,7,0,SL,,,,
-32.607967,152.233306,SLF1501,0,1,7,2022,4,7,1,SL,,,,
-32.61648,152.211563,SLF1501,12,0.8,9,2022,4,7,2,SL,,,,
-32.606791,152.23,SLF1501,11,0.9,8,2022,4,7,3,SL,,,,
-32.608565,152.232365,SLF1501,5,0.8,10,2022,4,7,4,SL,,,,
-32.608501,152.232416,SLF1501,22,0.8,10,2022,4,7,5,SL,,,,
-32.608615,152.23234,SLF1501,24,0.8,10,2022,4,7,6,SL,,,,
-32.608622,152.232365,SLF1501,22,0.8,10,2022,4,7,7,SL,,,,
-32.608469,152.232467,SLF1501,9,0.9,9,2022,4,7,8,SL,,,,
-32.60859,152.232391,SLF1501,16,0.8,9,2022,4,7,9,SL,,,,
-32.608558,152.232467,SLF1501,31,0.9,8,2022,4,7,10,SL,,,,
-32.608526,152.232543,SLF1501,42,0.8,10,2022,4,7,11,SL,,,,
-32.608488,152.232467,SLF1501,37,1,8,2022,4,7,12,SL,,,,
-32.608641,152.232391,SLF1501,24,0.8,10,2022,4,7,13,SL,,,,
-32.608628,152.232391,SLF1501,8,0.8,9,2022,4,7,14,SL,,,,
-32.608634,152.232442,SLF1501,17,0.8,9,2022,4,7,15,SL,,,,
-32.608615,152.232162,SLF1501,24,0.8,9,2022,4,7,16,SL,,,,
-32.609474,152.231348,SLF1501,29,0.8,10,2022,4,7,17,SL,,,,
-32.609505,152.23145,SLF1501,29,0.9,9,2022,4,7,18,SL,,,,
-32.592772,152.254135,SLF1501,17,1,8,2022,4,7,19,SL,,,,
-32.591812,152.262781,SLF1501,42,0.8,10,2022,4,7,20,SL,,,,
-32.587794,152.275828,SLF1501,11,0.7,11,2022,4,7,21,SL,,,,
-32.587196,152.273132,SLF1501,0,0.9,9,2022,4,7,22,SL,,,,
-32.587666,152.270385,SLF1501,3,0.8,10,2022,4,7,23,SL,,,,
-32.608062,152.244954,SLF1501,10,0.8,10,2022,4,8,0,SL,,,,
-32.615692,152.223642,SLF1501,5,1,7,2022,4,8,1,SL,,,,
-32.615622,152.223719,SLF1501,7,0.8,9,2022,4,8,2,SL,,,,
-32.61559,152.22349,SLF1501,23,0.8,9,2022,4,8,3,SL,,,,
-32.615679,152.22377,SLF1501,0,1.1,8,2022,4,8,4,SL,,,,
-32.61566,152.223668,SLF1501,10,1.1,7,2022,4,8,5,SL,,,,
-32.615698,152.223617,SLF1501,20,0.7,11,2022,4,8,6,SL,,,,
-32.615711,152.223617,SLF1501,21,0.8,10,2022,4,8,7,SL,,,,
-32.620454,152.206934,SLF1501,7,0.9,9,2022,4,8,8,SL,,,,
-32.608666,152.232416,SLF1501,15,0.7,11,2022,4,8,9,SL,,,,
-32.60866,152.232365,SLF1501,9,0.9,8,2022,4,8,10,SL,,,,
-32.608774,152.232442,SLF1501,29,0.9,9,2022,4,8,11,SL,,,,
-32.608666,152.232416,SLF1501,28,1.2,7,2022,4,8,12,SL,,,,
-32.608641,152.232416,SLF1501,41,0.9,9,2022,4,8,13,SL,,,,
-32.60866,152.232391,SLF1501,23,0.8,9,2022,4,8,14,SL,,,,
-32.608685,152.232365,SLF1501,20,0.9,8,2022,4,8,15,SL,,,,
-32.607611,152.232594,SLF1501,50,1,8,2022,4,8,16,SL,,,,
-32.607687,152.232391,SLF1501,35,0.8,9,2022,4,8,17,SL,,,,
-32.601565,152.268096,SLF1501,5,0.8,9,2022,4,8,18,SL,,,,
-32.589415,152.2698,SLF1501,0,1,8,2022,4,8,19,SL,,,,
-32.589262,152.276769,SLF1501,12,0.7,11,2022,4,8,20,SL,,,,
-32.588048,152.27949,SLF1501,5,0.8,10,2022,4,8,21,SL,,,,
-32.571587,152.293299,SLF1501,21,1.3,7,2022,4,8,22,SL,,,,
-32.588684,152.268402,SLF1501,5,0.8,9,2022,4,8,23,SL,,,,
-32.591011,152.265909,SLF1501,11,0.9,10,2022,4,9,0,SL,,,,
-32.58965,152.276565,SLF1501,2,1,7,2022,4,9,1,SL,,,,
-32.588003,152.272369,SLF1501,8,0.8,10,2022,4,9,2,SL,,,,
-32.569788,152.295333,SLF1501,17,0.8,9,2022,4,9,3,SL,,,,
-32.569527,152.295308,SLF1501,2,1.1,8,2022,4,9,4,SL,,,,
-32.569438,152.295359,SLF1501,16,0.8,10,2022,4,9,5,SL,,,,
-32.569515,152.295308,SLF1501,7,1,8,2022,4,9,6,SL,,,,
