month,Session,Species,Individual,DateTime,Trap,Date,Status,Pack,Sex,CamTerType,whowith,whowith1,whowith2,CamTerritory
Dec,1,Dingo,UOM2001,2021-12-23 11:13,PS10,2021-12-23,SubDominant,MB,M,PER,UOF1801,,,
Dec,1,Dingo,UOF1801,2021-12-23 11:13,PS10,2021-12-23,Dominant,MB,F,PER,UOM2002,,,
Dec,1,Dingo,UOM2002,2021-12-23 11:13,PS10,2021-12-23,SubDominant,MB,M,PER,UOM1701,,,
Dec,1,Dingo,UOM1701,2021-12-23 11:13,PS10,2021-12-23,Dominant,MB,M,PER,NA,,,
Dec,1,Dingo,UOM2002,2021-12-30 8:55,PS10,2021-12-30,SubDominant,MB,M,PER,NA,,,
Jan,1,Dingo,UOM1701,2022-01-03 7:32,PS10,2022-01-03,Dominant,MB,M,PER,UOF1801,,,
Jan,1,Dingo,UOF1801,2022-01-03 7:32,PS10,2022-01-03,Dominant,MB,F,PER,NA,,,
May,1,Dingo,UOM2001,2022-05-10 7:55,PS10,2022-05-10,SubDominant,MB,M,PER,NA,,,
Jan,1,Dingo,UOM2001,2022-01-04 6:07,PS11,2022-01-04,SubDominant,MB,M,PER,UOM2002,,,
Jan,1,Dingo,UOM2002,2022-01-04 6:07,PS11,2022-01-04,SubDominant,MB,M,PER,UOF1801,,,
Jan,1,Dingo,UOF1801,2022-01-04 6:07,PS11,2022-01-04,Dominant,MB,F,PER,UOM1701,,,
Jan,1,Dingo,UOM1701,2022-01-04 6:07,PS11,2022-01-04,Dominant,MB,M,PER,NA,,,
Jan,1,Dingo,UOM1701,2022-01-10 6:29,PS11,2022-01-10,Dominant,MB,M,PER,UOM2002,,,
Jan,1,Dingo,UOM2002,2022-01-10 6:29,PS11,2022-01-10,SubDominant,MB,M,PER,UOF1801,,,
Jan,1,Dingo,UOF1801,2022-01-10 6:29,PS11,2022-01-10,Dominant,MB,F,PER,NA,,,
Jan,1,Dingo,UOM2001,2022-01-16 20:03,PS11,2022-01-16,SubDominant,MB,M,PER,UOM1701,,,
